article_id	source_id	source
acm857719	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857720	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857721	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857724	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857725	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857726	acm580582	Proceedings of the IEEE Symposium on Information Visualization 2001 (INFOVIS'01) 
acm857729	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857731	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857732	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857733	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857734	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857735	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857736	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857737	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857738	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857739	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857740	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857741	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857742	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857746	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857747	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857748	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857749	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857750	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857751	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857752	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857753	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857754	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm857755	acm857191	Proceedings of the IEEE Symposium on Information Visualization (InfoVis'02) 
acm104428	acm65669	Neurocomputing foundations of research
acm108361	acm108360	ACM Transactions on Graphics (TOG): Volume 10 , Issue 2 (April 1991): 
acm108870	acm108844	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems Reaching through technology
acm108883	acm108844	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems Reaching through technology
acm115768	acm102377	ACM Transactions on Graphics (TOG): Volume 11 , Issue 1 (January 1992): 
acm120788	acm120782	Symposium on User Interface Software and Technology: Proceedings of the 4th annual ACM symposium on User interface software and technology
acm122758	acm122718	International Conference on Computer Graphics and Interactive Techniques: Proceedings of the 18th annual conference on Computer graphics and interactive techniques: ACM SIGGRAPH Computer Graphics: Volume 25 , Issue 4 (July 1991)
acm122873	acm122860	Annual ACM Conference on Research and Development in Information Retrieval: Proceedings of the 14th annual international ACM SIGIR conference on Research and development in information retrieval
acm122984	acm122974	Conference on Hypertext and Hypermedia: Proceedings of the third annual ACM conference on Hypertext
acm130299	acm130283	International Conference on Management of Data and Symposium on Principles of Database Systems: Proceedings of the 1992 ACM SIGMOD international conference on Management of data: ACM SIGMOD Record: Volume 21 , Issue 2 (June 1992)
acm133215	acm133160	Annual ACM Conference on Research and Development in Information Retrieval: Proceedings of the 15th annual international ACM SIGIR conference on Research and development in information retrieval
acm133216	acm133160	Annual ACM Conference on Research and Development in Information Retrieval: Proceedings of the 15th annual international ACM SIGIR conference on Research and development in information retrieval
acm133261	acm133257	Discrete Applied Mathematics: Volume 36 , Issue 2 (April 1992): 
acm134093	acm133994	International Conference on Computer Graphics and Interactive Techniques: Proceedings of the 19th annual conference on Computer graphics and interactive techniques: ACM SIGGRAPH Computer Graphics: Volume 26 , Issue 2 (July 1992)
acm142751	acm142750	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems
acm142780	acm142750	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems
acm142817	acm142750	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems
acm142913	acm142868	Software Engineering Symposium on Practical Software Development Environments: Proceedings of the fifth ACM SIGSOFT symposium on Software development environments: ACM SIGSOFT Software Engineering Notes: Volume 17 , Issue 5 (December 1992)
acm143054	acm142750	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems
acm146826	acm146802	ACM Transactions on Information Systems (TOIS): Volume 10 , Issue 2 (April 1992): 
acm147206	acm147156	Symposium on Interactive 3D Graphics: Proceedings of the 1992 symposium on Interactive 3D graphics
acm148286	null	ISBN: 0-521-43108-5
acm153577	acm255950	Communications of the ACM: Volume 36 , Issue 4 (April 1993): Special issue on graphical user interfaces
acm155359	acm159161	ACM Transactions on Information Systems (TOIS): Volume 11 , Issue 3 (July 1993): 
acm160730	acm160688	Annual ACM Conference on Research and Development in Information Retrieval: Proceedings of the 16th annual international ACM SIGIR conference on Research and development in information retrieval
acm162510	acm162477	Intelligent multimedia interfaces
acm163402	acm163381	Communications of the ACM: Volume 36 , Issue 8 (August 1993): Special issue on internetworking
acm163535	acm163531	Journal of Parallel and Distributed Computing: Volume 18 , Issue 2 (June 1993): Special issue on tools and methods for visualization of parallel systems and computations
acm163550	acm163531	Journal of Parallel and Distributed Computing: Volume 18 , Issue 2 (June 1993): Special issue on tools and methods for visualization of parallel systems and computations
acm166125	acm166117	International Conference on Computer Graphics and Interactive Techniques: Proceedings of the 20th annual conference on Computer graphics and interactive techniques
acm166126	acm166117	International Conference on Computer Graphics and Interactive Techniques: Proceedings of the 20th annual conference on Computer graphics and interactive techniques
acm168647	acm168642	Symposium on User Interface Software and Technology: Proceedings of the 6th annual ACM symposium on User interface software and technology
acm168650	acm168642	Symposium on User Interface Software and Technology: Proceedings of the 6th annual ACM symposium on User interface software and technology
acm168651	acm168642	Symposium on User Interface Software and Technology: Proceedings of the 6th annual ACM symposium on User interface software and technology
acm168657	acm168642	Symposium on User Interface Software and Technology: Proceedings of the 6th annual ACM symposium on User interface software and technology
acm168658	acm168642	Symposium on User Interface Software and Technology: Proceedings of the 6th annual ACM symposium on User interface software and technology
acm168818	acm168750	Conference on Hypertext and Hypermedia: Proceedings of the fifth ACM conference on Hypertext
acm168823	acm168750	Conference on Hypertext and Hypermedia: Proceedings of the fifth ACM conference on Hypertext
acm169209	acm169059	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems
acm169426	acm169059	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems
acm170095	acm170088	Conference on Information and Knowledge Management: Proceedings of the second international conference on Information and knowledge management
acm172250	acm172247	Information Systems: Volume 18 , Issue 4 (June 1993): 
acm180173	acm180171	ACM Transactions on Computer-Human Interaction (TOCHI): Volume 1 , Issue 2 (June 1994): 
acm180923	acm180895	Academic Press Graphics Gems Series: Graphics gems IV
acm187157	acm186258	International Symposium on Software Testing and Analysis: Proceedings of the 1994 international symposium on Software testing and analysis
acm187170	acm187156	Computers in Physics: Volume 8 , Issue 3 May/June 1994: 
acm188563	acm188490	Annual ACM Conference on Research and Development in Information Retrieval: Proceedings of the 17th annual international ACM SIGIR conference on Research and development in information retrieval
acm189245	acm189243	Machine Learning: Volume 14 , Issue 2 (February 1994): Special issue on evaluating and changing representation
acm191095	acm191080	Conference on Object Oriented Programming Systems Languages and Applications: Proceedings of the ninth annual conference on Object-oriented programming systems, language, and applications: ACM SIGPLAN Notices: Volume 29 , Issue 10 (October 1994)
acm191676	acm191666	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems celebrating interdependence
acm191682	acm191666	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems celebrating interdependence
acm191715	acm191666	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems celebrating interdependence
acm191719	acm191666	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems celebrating interdependence
acm191774	acm191666	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems celebrating interdependence
acm191775	acm191666	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems celebrating interdependence
acm191776	acm191666	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems celebrating interdependence
acm191778	acm191666	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems celebrating interdependence
acm191786	acm191666	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems celebrating interdependence
acm191790	acm191666	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems celebrating interdependence
acm192190	acm192161	International Conference on Computer Graphics and Interactive Techniques: Proceedings of the 21st annual conference on Computer graphics and interactive techniques
acm192313	acm192309	AVI: Proceedings of the workshop on Advanced visual interfaces
acm192357	acm192309	AVI: Proceedings of the workshop on Advanced visual interfaces
acm192429	acm192426	Symposium on User Interface Software and Technology: Proceedings of the 7th annual ACM symposium on User interface software and technology
acm192430	acm192426	Symposium on User Interface Software and Technology: Proceedings of the 7th annual ACM symposium on User interface software and technology
acm192434	acm192426	Symposium on User Interface Software and Technology: Proceedings of the 7th annual ACM symposium on User interface software and technology
acm192435	acm192426	Symposium on User Interface Software and Technology: Proceedings of the 7th annual ACM symposium on User interface software and technology
acm192437	acm192426	Symposium on User Interface Software and Technology: Proceedings of the 7th annual ACM symposium on User interface software and technology
acm192449	acm192426	Symposium on User Interface Software and Technology: Proceedings of the 7th annual ACM symposium on User interface software and technology
acm192451	acm192426	Symposium on User Interface Software and Technology: Proceedings of the 7th annual ACM symposium on User interface software and technology
acm192470	acm192426	Symposium on User Interface Software and Technology: Proceedings of the 7th annual ACM symposium on User interface software and technology
acm192472	acm192426	Symposium on User Interface Software and Technology: Proceedings of the 7th annual ACM symposium on User interface software and technology
acm192835	acm192757	Conference on Hypertext and Hypermedia: Proceedings of the 1994 ACM European conference on Hypermedia technology
acm198376	acm198366	Communications of the ACM: Volume 37 , Issue 12 (December 1994): 
acm205326	acm205323	Communications of the ACM: Volume 38 , Issue 4 (April 1995): 
acm208346	acm208344	Communications of the ACM: Volume 38 , Issue 8 (August 1995): 
acm208350	acm208344	Communications of the ACM: Volume 38 , Issue 8 (August 1995): 
acm212334	acm212332	ACM Transactions on Graphics (TOG): Volume 14 , Issue 3 (July 1995): 
acm212782	acm212782	Ellis Horwood Series In Artificial Intelligence
acm214456	acm214451	ACM Transactions on Computer Systems (TOCS): Volume 3 , Issue 1 (February 1985): 
acm214799	acm213859	Communications of the ACM: Volume 38 , Issue 7 (July 1995): 
acm215636	acm215585	Symposium on User Interface Software and Technology: Proceedings of the 8th annual ACM symposium on User interface and software technology
acm215654	acm215585	Symposium on User Interface Software and Technology: Proceedings of the 8th annual ACM symposium on User interface and software technology
acm215977	acm215585	Symposium on User Interface Software and Technology: Proceedings of the 8th annual ACM symposium on User interface and software technology
acm215978	acm215585	Symposium on User Interface Software and Technology: Proceedings of the 8th annual ACM symposium on User interface and software technology
acm217311	acm217306	Virtual Reality Modeling Language Symposium: Proceedings of the first symposium on Virtual reality modeling language
acm217855	acm217853	ACM Transactions on Modeling and Computer Simulation (TOMACS): Volume 5 , Issue 3 (July 1995): Special issue on graphics, animation, and visualization for simulation environments
acm218443	acm218380	International Conference on Computer Graphics and Interactive Techniques: Proceedings of the 22nd annual conference on Computer graphics and interactive techniques
acm218454	acm218380	International Conference on Computer Graphics and Interactive Techniques: Proceedings of the 22nd annual conference on Computer graphics and interactive techniques
acm223381	acm223355	Conference on Human Factors in Computing Systems: Conference companion on Human factors in computing systems
acm223394	acm223355	Conference on Human Factors in Computing Systems: Conference companion on Human factors in computing systems
acm22342	acm22627	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems: ACM SIGCHI Bulletin: Volume 17 , Issue 4 (April 1986)
acm223435	acm223355	Conference on Human Factors in Computing Systems: Conference companion on Human factors in computing systems
acm223464	acm223355	Conference on Human Factors in Computing Systems: Conference companion on Human factors in computing systems
acm223745	acm223355	Conference on Human Factors in Computing Systems: Conference companion on Human factors in computing systems
acm223759	acm223355	Conference on Human Factors in Computing Systems: Conference companion on Human factors in computing systems
acm223812	acm223784	International Conference on Management of Data and Symposium on Principles of Database Systems: Proceedings of the 1995 ACM SIGMOD international conference on Management of data: ACM SIGMOD Record: Volume 24 , Issue 2 (May 1995)
acm223895	acm223784	International Conference on Management of Data and Symposium on Principles of Database Systems: Proceedings of the 1995 ACM SIGMOD international conference on Management of data: ACM SIGMOD Record: Volume 24 , Issue 2 (May 1995)
acm223911	acm223904	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems
acm223912	acm223904	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems
acm223934	acm223904	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems
acm223947	acm223904	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems
acm223956	acm223904	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems
acm223959	acm223904	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems
acm223960	acm223904	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems
acm227186	acm227181	interactions: Volume 3 , Issue 2 (March 1996): 
acm22723	acm13677	ACM Transactions on Computer Systems (TOCS): Volume 5 , Issue 2 (May 1987): 
acm227811	acm227726	International Conference on Software Engineering: Proceedings of the 18th international conference on Software engineering
acm22950	acm22949	ACM Transactions on Graphics (TOG): Volume 5 , Issue 2 (April 1986): 
acm229763	acm229737	Computers in Physics: Volume 10 , Issue 3 May/June 1996: 
acm230563	acm230562	ACM Transactions on Computer-Human Interaction (TOCHI): Volume 3 , Issue 2 (June 1996): 
acm230577	acm230562	ACM Transactions on Computer-Human Interaction (TOCHI): Volume 3 , Issue 2 (June 1996): 
acm233315	acm233269	International Conference on Management of Data and Symposium on Principles of Database Systems: Proceedings of the 1996 ACM SIGMOD international conference on Management of data: ACM SIGMOD Record: Volume 25 , Issue 2 (June 1996)
acm233324	acm233269	International Conference on Management of Data and Symposium on Principles of Database Systems: Proceedings of the 1996 ACM SIGMOD international conference on Management of data: ACM SIGMOD Record: Volume 25 , Issue 2 (June 1996)
acm233333	acm233269	International Conference on Management of Data and Symposium on Principles of Database Systems: Proceedings of the 1996 ACM SIGMOD international conference on Management of data: ACM SIGMOD Record: Volume 25 , Issue 2 (June 1996)
acm234423	acm234313	ACM Computing Surveys (CSUR): Volume 28 , Issue 1 (March 1996): 
acm234538	acm234535	ACM Transactions on Graphics (TOG): Volume 15 , Issue 4 (October 1996): 
acm235579	acmSERIES10317	Springer Virtual Laboratory Series
acm237096	acm237091	Symposium on User Interface Software and Technology: Proceedings of the 9th annual ACM symposium on User interface software and technology
acm237097	acm237091	Symposium on User Interface Software and Technology: Proceedings of the 9th annual ACM symposium on User interface software and technology
acm237774	null	ISBN: 0-262-69191-4
acm238396	acm238386	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems common ground
acm238446	acm238386	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems common ground
acm238450	acm238386	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems common ground
acm238489	acm238386	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems common ground
acm238493	acm238386	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems common ground
acm238526	acm238386	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems common ground
acm238587	acm238386	Conference on Human Factors in Computing Systems: Proceedings of the SIGCHI conference on Human factors in computing systems common ground
acm240405	null	null
acm242229	acm242224	ACM Computing Surveys (CSUR): Volume 28 , Issue 4es (December 1996): Special issue position statements on strategic directions in computing research
acm243214	acm243199	Annual ACM Conference on Research and Development in Information Retrieval: Proceedings of the 19th annual international ACM SIGIR conference on Research and development in information retrieval
acm243218	acm243199	Annual ACM Conference on Research and Development in Information Retrieval: Proceedings of the 19th annual international ACM SIGIR conference on Research and development in information retrieval
acm245014	acm244979	IEEE Visualization: Proceedings of the 7th conference on Visualization '96
acm245018	acm244979	IEEE Visualization: Proceedings of the 7th conference on Visualization '96
acm245020	acm244979	IEEE Visualization: Proceedings of the 7th conference on Visualization '96
acm245035	acm244979	IEEE Visualization: Proceedings of the 7th conference on Visualization '96
acm245041	acm244979	IEEE Visualization: Proceedings of the 7th conference on Visualization '96
acm245042	acm244979	IEEE Visualization: Proceedings of the 7th conference on Visualization '96
acm245567	acm244979	IEEE Visualization: Proceedings of the 7th conference on Visualization '96
acm245585	acm244979	IEEE Visualization: Proceedings of the 7th conference on Visualization '96
acm245597	acm244979	IEEE Visualization: Proceedings of the 7th conference on Visualization '96
acm245890	acm245882	ACM SIGMOD Record: Volume 25 , Issue 4 (December 1996): 
acm245891	acm245882	ACM SIGMOD Record: Volume 25 , Issue 4 (December 1996): 
acm253335	acm253260	International Conference on Management of Data and Symposium on Principles of Database Systems: Proceedings of the 1997 ACM SIGMOD international conference on Management of data: ACM SIGMOD Record: Volume 26 , Issue 2 (June 1997)
