article_id	title	source_id	source	from	to	keywords	author_no	1st_author	date	no_refs	abstract
acm857577	SDM: malleable information graphics	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization	36	null	SDM, data visualisation, direct manipulation, graphical user interfaces, information analysis tasks, interactive systems, interactive techniques, malleable information graphics, object set selection, selective dynamic manipulation, user action, visualizations	4	P573257	10-30-1995	16	Selective dynamic manipulation (SDM) is a paradigm for interacting with objects in visualizations. Its methods offer a high degree of selectivity, in choosing object sets, in the selection of interactive techniques and the properties they affect, and in the degree to which a user action affects the visualization. Our goal is to provide a flexible set of techniques and feedback mechanisms that enable users to move objects and transform their appearance to perform a variety of information analysis tasks.
acm857578	VRMosaic: WEB access from within a virtual environment	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization	59	null	RealEyes, VR-capable Interviews, VRMosaic, Web access, computer displays, data visualisation, detailed geometry display, first person perspective, flat screen Mosaic, frame rates, fully immersive VR system, information networks, large-scale geometry display, nongeometric data, nongeometric information, virtual environment, virtual reality	2	P113687	10-30-1995	13	Virtual reality can aid in designing large and complex structures such as ships, skyscrapers, factories, and aircraft. But before VR can realize this potential, we need to solve a number of problems. One of these problems: the user's need to see and interact with non-geometric information is examined. Our VR environment, RealEyes, can display large-scale and detailed geometry at reasonable frame rates (&lt;20 Hz) allowing a user to see and navigate within a design from a first person perspective. However, much (if not most) of the information associated with a particular design has no geometric representation. This includes information such as schematics of electrical, hydraulic, and plumbing systems; information describing materials or processes; and descriptive (textual) information of other types. Many researchers have developed a wealth of techniques for presenting such data on flat-screen displays, but until recently, we have not had a means for naturally displaying such information within a VR environment. To make non-geometric data more available, we have implemented a version of Mosaic that functions within a fully immersive VR system. Our system, VRMosaic, allows a user of VR to access and display most of the data available using flat screen Mosaic. Moreover, we have made it extensible to allow for the seamless integration of specialized forms of data and interaction. This paper describes how we implemented VRMosaic using a VR-capable version of Interviews, It also describes some Mosaic-like uses of that system and some "non-Mosaic-like" extensions.
acm857579	Visualizing the non-visual: spatial analysis and interaction with information from text documents	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization	51	null	action, archived reports, data visualisation, digital libraries, information interaction, information retrieval, informational characteristics, large text document corpora, libraries, library automation, natural world, nonvisual visualization, perception, procedures, regulations, spatial analysis, spatial representation, text content, text content spatialization, text documents, visual analysis, visual browsing, visual databases, word processing	7	P573177	10-30-1995	11	The paper describes an approach to IV that involves spatializing text content for enhanced visual browsing and analysis. The application arena is large text document corpora such as digital libraries, regulations and procedures, archived reports, etc. The basic idea is that text content from these sources may be transformed to a spatial representation that preserves informational characteristics from the documents. The spatial representation may then be visually browsed and analyzed in ways that avoid language processing and that reduce the analysts mental workload. The result is an interaction with text that more nearly resembles perception and action with the natural world than with the abstractions of written language.
acm857580	The information mural: a technique for displaying and navigating large information spaces	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization	43	null	antialiasing, antialiasing techniques, browsing, color graphics, colour graphics, data visualisation, data visualization, display screen, global views, grayscale shading, information display, information mural, information navigation, large information spaces, object-oriented programming, object-oriented programs, software visualization, user interfaces, visual programming	2	P569393	10-30-1995	19	Visualizations which depict entire information spaces provide context for navigation and browsing tasks; however, the limited size of the display screen makes creating effective global views difficult. We have developed a technique for displaying and navigating large information spaces. The key concept is the use of an information mural, a two-dimensional reduced representation of an entire information space that fits completely within a display window or screen. Information murals use grayscale shading and color along with anti-aliasing techniques to create a miniature version of the entire data set. By incorporating navigational capabilities, information murals become a tool that can be used as a global view along with more detailed informational displays. Information murals are utilized in our software visualization research to help depict the execution of object-oriented programs, and can also be used in more general information visualization applications.
acm857581	Case study: 3D displays of Internet traffic	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization	129	null	D displays, Internet, Internet traffic, arc height, computer animation, data visualisation, geographic context, globe surface translucency, large data sets, line crossing clutter reduction, navigation, network traffic visualisation, stereo image processing, telecommunication computing, telecommunication traffic, time indicator, world-wide communications, world-wide network data	2	P152936	10-30-1995	8	The explosive growth in world-wide communications, especially the Internet, has highlighted the need for techniques to visualize network traffic. The traditional node and link network displays work well for small datasets but become visually cluttered and uninterpretable for large datasets. A natural 3D metaphor for displaying world-wide network data is to position the nodes on a globe and draw arcs between them coding the traffic. This technique has several advantages of over the traditional 2D displays, it naturally reduces line crossing clutter, provides an intuitive model for navigation and indication of time, and retains the geographic context. Coupling these strengths with some novel interaction techniques involving the globe surface translucency and arc heights illustrates the usefulness for this class of displays.
acm857582	Case study: fishing for information on the Internet	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization	105	null	FISH search visualization tool, Internet, color, data attributes, data visualisation, document hierarch, hierarchically structured information viewing, indentation, information overload management, information retrieval, large document spaces, online front-ends, order, returned documents, search requests, search tools, size, user navigation	3	P234373	10-30-1995	4	As the Internet continues to grow, the amount of accessible information becomes increasingly vast. Search tools exist that allow users to find relevant information. However, a search can often produce such a large amount of data that it becomes hard to ferret out the most appropriate and highest quality information. In addition, some search tools lose valuable information when displaying the results to the user. The paper describes a search visualization tool, called FISH, for viewing hierarchically structured information and managing information overload. FISH (Forager for the Information Super Highway) allows users to visualize the results of search requests across large document spaces in a way that preserves the structure of the information space. FISH displays the returned documents as rectangles, using a combination of order, indentation, size, and color to denote document hierarchy, the score of the documents with respect to the search, and other data attributes. In addition, the user can navigate through the document space for in-depth probing and refinement.
acm857583	Case study: Visualising cyberspace: information visualisation in the Harmony Internet browser	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization	97	null	Gopher spaces, Harmony Internet browser, Harmony client, Hyper-G Internet information system, Internet, WWW spaces, cyberspace visualisation, data models, data structures, data visualisation, hypermedia, information retrieval, information systems, information visualisation, location feedback, navigational facilities	1	P152460	10-30-1995	23	The explosive growth of information systems on the Internet has clearly demonstrated the need to organise, filter, and present information in ways which allow users to cope with the sheer quantities of information available. The scope for visualisation of Gopher and WWW spaces is restricted by the limitations of their respective data models. The far richer data model supported by the Hyper-G Internet information system is exploited by its Harmony client to provide a number of tightly-coupled, two- and three-dimensional visualisation and navigational facilities, which help provide location feedback and alleviate user disorientation.
acm857584	Case study: Narcissus: visualising information	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization	90	null	Narcissus, World Wide Web, adaptive systems, complex information spaces, concurrent engineering, data manipulation, data visualisation, information networks, information retrieval, information systems, information visualisation, intuitive understanding, large computer based data sets, navigation, object manipulation, programming environments, self-adjusting systems, software systems, user support, virtual reality, visual programming, visualisation tools	4	P232840	10-30-1995	8	It is becoming increasingly important that support is provided for users who are dealing with complex information spaces. The need is driven by the growing number of domains where there is a requirement for users to understand, navigate and manipulate large sets of computer based data; by the increasing size and complexity of this information and by the pressures to use this information efficiently. The paradigmatic example is the World Wide Web, but other domains include software systems, information systems and concurrent engineering. One approach to providing this support is to provide sophisticated visualisation tools which lead the users to form an intuitive understanding of the structure and behaviour of their domain and which provide mechanisms which allow them to manipulate objects within their system. The paper describes such a tool and a number of visualisation techniques that it implements.
acm857585	Case study: visualizing Internet resources	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization	122	null	Internet, Internet resource visualisation, World-Wide Web hyperspace, browsing, data visualisation, document linking, documents, hyperspace hierarchical structure, information analysis, information resource interaction, information retrieval, new information analysis, new information discovery, personal information hyperspace, retrieved documents, user-centric approach, visual representation	5	P573158	10-30-1995	7	The goal is to improve the ability of people from all walks of life and interests to access, search, and use the information distributed in Internet resources. The process of interacting with information resources starts with browsing, continues with digesting and assimilating pieces of information, terminates with generation of new information, and begins anew with analysis of pre-existing and new information. Our approach is user-centric-taking users needs into account by allowing them to interact with the information contained in large arrays of documents. The visualization process is an integral part of the overall process. We have covered three related categories in this methodology. The first one is browsing through the World-Wide Web (WWW) hyperspace without becoming lost, based on a visual representation of the hyperspace hierarchical structure (hyperspace view). The second category is overcoming the rigidity of the WWW by allowing the user to construct interactively and visually a personal hyperspace of information, linking the documents according to the application or problem domain, or to the user's own perception, experience, culture, or way of thinking. The third category includes discovery and analysis of new information and relationships in retrieved documents by aggregating relevant information and representing it visually.
acm857587	Case study: A WWW viewpoint on scientific visualization: an EPA case study for technology transfer	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization	112	null	EPA case study, Internet, Unix, World Wide Web, data visualisation, decision makers, environmental science computing, environmental scientists, government data processing, high performance UNIX workstations, information dissemination, information retrieval, intelligent visualization capability access, knowledge dissemination, microcomputer applications, operating systems (computers), personal computers, policy analysts, public administration, scientific visualization capabilities, technology transfer, workstations	1	P573474	10-30-1995	8	The paper examines how to provide scientific visualization capabilities to environmental scientists, policy analysts and decision makers with personal computers (PCs) on their desktops. An approach for using the World Wide Web (WWW) for disseminating knowledge on scientific visualization and for intelligent access to visualization capabilities on high performance (UNIX) workstations is outlined.
acm857589	Case study: an empirical investigation of thumbnail image recognition	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization	115	null	data compression, data visualisation, edge detection, edge-detecting smoothing, image coding, image databases, image reduction, image selection, lossy image compression, parent image treatment, searching, static codebook compression, thumbnail creation, thumbnail image recognition, user interface, user interfaces, visual databases	3	P572977	10-30-1995	15	The use of thumbnails (i.e., miniatures) in the user-interface of image databases allows searching and selection of images without the need for naming policies. Treating parent images prior to reduction with edge-detecting smoothing, lossy image compression, or static codebook compression resulted in thumbnails where the distortion caused by reduction was lessened. An experiment assessing these techniques found resulting thumbnails could be recognised more quickly and accurately than thumbnails of the same parent images that had been reduced without treatment. This pretreatment in thumbnail creation is offered as an improvement.
acm857590	Towards a generative theory of diagram design	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization	11	null	AVE, CAD, aesthetics, automatic visualization engine, automatic visualization process, data characterization, data visualisation, diagram design, diagrams, information visualization, process model, semantic networks	3	P573218	10-30-1995	16	We describe the theoretical background for AVE, an automatic visualization engine for semantic networks. We have a functional notion of aesthetics and therefore understand meaningfulness as a central issue for information visualization. This implies that the diagrams should communicate the characteristics of the data as effectively as possible. In this generative theory of diagram design, we include data characterization, systematic use of graphical means of expression and the combination of graphical means of expression. After giving a brief introduction and an application scenario we discuss these aspects in detail. Finally, a process model of an automatic visualization process is sketched and directions for further research are outlined.
acm857591	Visualization for functional design	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization	4	null	CAD, Influence Explorer, Prosection Matrix, circuit CAD, data visualisation, electronic circuit design, engineering artifact design, engineering graphics, functional design, interactive display, interactive systems, manufacturing process, optimisation, user interfaces, visualisation tools	4	P572966	10-30-1995	10	We present two novel visualisation tools: the Influence Explorer and the Prosection Matrix. These were specifically created to support engineering artifact design and similar tasks in which a set of parameter values must be chosen to lead to acceptable artifact performance. These tools combine two concepts. One is the interactive and virtually immediate responsive display of data in a manner conducive to the acquisition of insight. The other, involving the precalculation of samples of artifact performance, facilitates smooth exploration and optimisation leading to a design decision. The anticipated benefits of these visualisation tools are illustrated by an example taken from electronic circuit design, in which full account must be taken of the uncertainties in parameter values arising from inevitable variations in the manufacturing process.
acm857592	Research report: improving browsing in information by the automatic display layout	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization	26	null	automatic display layout, automatic layout system, computer animation, display layouts, graph structured information, graphical representations, graphical user interfaces, human factors, information browsing, information network, information retrieval, layout algorithms, manual layout, time consuming, user model, user modelling, user requests	2	P573340	10-30-1995	15	It is well known that graphical representations could be very helpful to browse in graph structured information. But this promising approach requires the capability of an automatic layout system because the tedious and time consuming task of a manual layout leads to a rejection of this approach by the user. In our approach, we split the task of retrieving information into two phases that are getting the orientation within the network and reading currently visited information. We present layout algorithms for both phases which have the benefit of being flexible and adaptable to individual user requests and ensure the topological consistency, i.e. the stability of the topology of the information layout during a sequence of display layouts. The results show that especially the possibility of an animation of the layout process can assist the user essentially in maintaining the orientation in the information network.
acm857593	Research report: information animation applications in the capital markets	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization	19	null	D computer graphics, capital markets, computer animation, data visualisation, decision support systems, decision-support tool, equity trading analytics, financial data processing, fixed income trading analytics, fixed-income risk viewing, information animation applications, risk management, securities industry, securities market, securities trading, three dimensional computer graphics, visual design	1	P573524	10-30-1995	10	D computer graphics can be extremely expressive. It is possible to display an entire securities market, like the S&amp;P 500, on a single screen. With the correct approach to the visual design of the layout, these massive amounts of information can be quickly and easily comprehended by a human observer. By using motion and animated interaction, it is possible to use 3D as a reliable, accurate and precise decision-support tool. Information animation applications are particularly suited to the securities industry because that is where we find huge amounts of data, the value of which declines rapidly with time, and where critical decisions are being made on this data in very short periods of time. Information animation technology is an important new tool for the securities industry, where people need to be in the decision-making loop without suffering from information overload. Several examples are discussed including equity trading analytics, fixed income trading analytics and fixed-income risk viewing.
acm857597	Research report: Interacting with huge hierarchies: beyond cone trees	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization	74	null	animated zooming, colour, computer animation, cone tree visualization systems, cone trees, data visualisation, depth cueing, distant node coalescence, dynamic queries, empirical evaluation, fish-eye zooming, fsviz, graphical techniques, hand-coupled rotation, huge hierarchies, huge information hierarchy interaction, huge information hierarchy visualisation, interaction techniques, node layout algorithm, texturing, tool efficacy, tree data structures, usage-based filtering, user control, visual clutter	2	P573142	10-30-1995	9	The paper describes an implementation of a tool for visualizing and interacting with huge information hierarchies, and some preliminary empirical evaluation of the tool's efficacy. Existing systems for visualizing huge hierarchies using cone trees "break down" once the hierarchy to be displayed exceeds roughly 1000 nodes, due to increasing visual clutter. The paper describes a system called fsviz which visualizes arbitrarily large hierarchies while retaining user control. This is accomplished by augmenting cone trees with several graphical and interaction techniques: usage-based filtering, animated zooming, hand-coupled rotation, fish-eye zooming, coalescing of distant nodes, texturing, effective use of colour for depth cueing, and the applications of dynamic queries. The fsviz system also improves upon earlier cone tree visualization systems through a more elaborate node layout algorithm. This algorithm enhances the usefulness of cone tree visualization for large hierarchies by all but eliminating clutter.
acm857598	Research report: DataSpace: 3-D visualizations of large databases	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization	82	null	D graph layout, 3D graphic operations, DataSpace, computer displays, continuous navigation facilities, data analysis, data visualisation, display space, image comparison, image merging, information panels, interactive 3D visualization, large database analysis, large databases, layout step, performance issues, query processing, query step, rendering step, selective rearrangements, transparency, very large databases	4	P573494	10-30-1995	16	DataSpace is a system for interactive 3-D visualization and analysis of large databases. DataSpace utilizes the display space by placing panels of information, possibly generated by different visualization applications, in a 3-D graph layout, and providing continuous navigation facilities. Selective rearrangements and transparency can be used to reduce occlusion or to compare or merge a set of images (e.g. line graphs or scatter plots) that are aligned and stacked in depth. A prototype system supporting the basic 3-D graphic operations (layout, zoom, rotation, translation, transparency) has been implemented. We provide several illustrative examples of DataSpace displays taken from the current system. We present the 3-D display paradigm, describe the query, layout and rendering steps required to create a display, and discuss some performance issues.
acm857599	Minimally-immersive interactive volumetric information visualization	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 	66	null	D information visualization, SFA, data visualisation, document similarity, glyph-based volume rendering, human visual system, hypertext, information attributes, information visualization, minimally immersive volumetric interactive system, multivariate time-varying information, navigation, stereoscopic viewing, surface-based information visualization, textual documents, three-dimensional perception, three-dimensional volumetric visualization, two-handed interaction, user learning	5	P53165	10-28-1996	6	This paper describes a minimally immersive volumetric interactive system for information visualization. The system, SFA, uses glyph-based volume rendering, enabling more information attributes to be visualized than traditional 2D and surface-based information visualization systems. Two-handed interaction and stereoscopic viewing combine to produce a minimally immersive interactive system that enhances the user's three-dimensional perception of the information space, capitalizing on the human visual system's pre-attentive learning capabilities to quickly analyze the displayed information. The paper describes the usefulness of this system for the visualization of document similarity within a corpus of textual documents. SFA allows the three-dimensional volumetric visualization, manipulation, navigation, and analysis of multivariate, time-varying information spaces, increasing the quantity and clarity of information conveyed from the visualization as compared to traditional 2D information systems.
acm857600	Interactive visualization of multiway tables	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 	68	null	business data visualization applications, database summarizing, interactive systems, interactive visualization, large databases, multiway tables, telephone call billing data, visualization tool	2	P152936	10-28-1996	6	Many business data visualization applications involve large databases with dozens of fields and millions of rows. Interactive visualization of these databases is difficult because of the large amount of data involved. We present a method of summarizing large databases which is well suited to interactive visualization. We illustrate this with a visualization tool for the domain of call billing data.
acm857601	FINESSE: a financial information spreadsheet	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 	70	null	FINESSE, arithmetic, data visualization, financial data processing, financial information spreadsheet, functions, graphics, images, information presentation, market trends, numbers, presentation, real-time financial information, spreadsheet cells, text, three dimensions, two dimensions, user interface	2	P549550	10-28-1996	11	We outline a spreadsheet-based system for visualization of real-time financial information. Our system permits the user to define arithmetic and presentation relationships amongst the various cells of the spreadsheet. The cells contain primitives that can be numbers, text, images, functions and graphics. Presenting financial information in this format allows its intended clients, the financial analysts, to work in the familiar environment of a spreadsheet and allows them the flexibility afforded by the powerful interface of the spreadsheet paradigm. In addition, our system permits real-time visualization of the financial data stream allowing its user to visually trade the changing market trends in two and three dimensions.
acm857602	Animating multidimensional scaling to visualize N-dimensional data sets	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 	72	null	N-dimensional data set visualization, computer animation, flow visualization, high-dimensional data sets, iterative nonlinear technique, multidimensional data, multidimensional scaling animation, multivariate data, stochastic perturbation	2	P572975	10-28-1996	3	Many techniques have been developed for visualizing multivariate (multidimensional) data. Most, if not all, are limited by the number of dimensions which can be effectively displayed. Multidimensional scaling (MDS) is an iterative non-linear technique for projecting n-D data down to a lower number of dimensions. This work presents extensions to MDS that enhance visualization of high-dimensional data sets. These extensions include animation, stochastic perturbation, and flow visualization techniques.
acm857603	Dual multiresolution HyperSlice for multivariate data visualization	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 	74	null	HyperSlice representation, data resolution, data visualisation, logical display resolution, multiresolution visualization design, multivariate data visualization, space projection, system prototype, very large data visualization, wavelets	3	P218971	10-28-1996	5	We present a new multiresolution visualization design which allows a user to control the physical data resolution as well as the logical display resolution of multivariate data. A system prototype is described which uses the HyperSlice representation. The notion of space projection in multivariate data is introduced. This process is coupled with wavelets to form a powerful tool for very large data visualization.
acm857604	Towards rich information landscapes for visualising structured Web spaces	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 	62	null	D icons, Harmony Information Landscape, Harmony browser, Hyper-G Web server, Internet, data model, document representation, hierarchical structure, hierarchy map, hyperlink, link map, navigational facilities, search queries, three dimensional icons, three-dimensional visualisation	3	P152460	10-28-1996	5	The Harmony browser for the Hyper-G Web server utilises Hyper-G's rich data model to provide a number of tightly-coupled, two- and three-dimensional visualisation and navigational facilities. In particular the Harmony Information Landscape visualises the hierarchical structure of Hyper-G spaces upon a plane in three-dimensional space. The Harmony Information Landscape has now been extended to display a combined structure and link map by selectively superimposing hyperlink relationships in the vertical dimension above and below the hierarchy map. In addition, documents returned by search queries may be selectively "plotted" in the landscape, indicating their whereabouts in a broader context, and several sets of 3D icons are available for representing the various document types.
acm857605	Visualizing the results of multimedia Web search engines	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 	64	null	Internet, World Wide Web, data visualization, document retrieval, image search, multimedia Web search engines, online front-ends, query processing, text search, user friendly	3	P546514	10-28-1996	2	Search engines are very useful because they allow the user to retrieve documents of interest from the World-Wide Web. However, if the user's query results in lots of records to be retrieved, just listing the results is not very user-friendly. We are developing a system that allows the visualization of the results. Visualizations of both text and image search are generated on the fly based on the search results.
