article_id	num_refs	ref_id	ref_text
acm721083	23	acm180923	J. Bloomenthal. "An Implicit Surface Polygonizer". Graphics Gems IV Boston: Academic Press, pp. 324-349, 1994
acm721083	23	acm618448	M. Sheelagh T. Carpendale, David J. Cowperthwaite, and F. David Fracchia. Extending distortion viewing from 2D to 3D. Computer Graphics and Applications, pages 42-51, 1997.
acm721083	23	acm857626	Chi, E., Barry, P., Riedl, J., Konstan, J., "A Spreadsheet Approach to Information Visualization". Proc. IEEE Information Visualization, pp. 17-24, 1997.
acm721083	23	acm264657	J. D. Cohen. "Drawing graphs to convey proximity An incremental arrangement method". ACM Transactions on Computer-Human Interaction, 4(3) 197-229, 1997.
acm721083	23	id8006	Marc Damashek, "Gauging Similarity with n-Grams: Language-Independent Categorization of Text", Science, 10 February 1995, Volume 267, pp. 843-848.
acm721083	23	id8007	David S. Ebert, James M. Kukla, Christopher D. Shaw, Amen Zwa, Ian Soboroff, and D. Aaron Roberts, "Automatic Shape Interpolation for Glyph-based Information Visualization", Late Breaking Hot Topics Proceedings, IEEE Visualization Conference, Oct. 1997, pp. 57-59.
acm721083	23	id8012	David S. Ebert, "Advanced Geometric Modeling". In Jr. Allen Tucker, editor, The Computer Science and Engineering Handbook, chapter 56, CRC Press, 1997.
acm721083	23	acm857599	David S. Ebert, Chris Shaw, Amen Zwa, Ethan L. Miller, and D. Aaron Roberts, "Minimally-immersive Interactive Volumetric Information Visualization", Proceedings of Information Visualization Symposium '96, IEEE Computer Society Press, Los Alamitos, CA, 1996., pp. 66-67.
acm721083	23	acm857624	M. Gross, T. Sprenger, and J. Finger. "Visualizing Information on a Sphere". In J. Dill and N. Gershon, editors, IEEE Information Visualization '97. IEEE, Oct. 1997. ISBN 0-8186-8189-6.
acm721083	23	acm258796	Victoria Interrante, "Illustrating Surface Shape in Volume Data via Principle Direction-Driven 3D Line Integral Convolution", Proceedings of SIGGRAPH 97, (Los Angeles, CA, August 3-8 1997), In Computer Graphics Proceedings, Annual Conference Series 1997, ACM SIGGRAPH, pp. 109-116.
acm721083	23	acm245567	Victoria Interrante, Henry Fuchs, and Stephen Pizer, "Illustrating Transparent Surfaces with Curvature-Directed Strokes", Proceedings of IEEE Visualization 96, IEEE Computer Society Press, Los Alamitos, CA, 1996, pp. 211-218.
acm721083	23	acm261082	Teuvo Kohonen, Self-organizing maps, Springer-Verlag New York, Inc., Secaucus, NJ, 1997 
acm721083	23	acm122873	Robert R. Korfhage, To see, or not to see- is That the query?, Proceedings of the 14th annual international ACM SIGIR conference on Research and development in information retrieval, p.134-141, October 13-16, 1991, Chicago, Illinois, United States 
acm721083	23	id8045	H. Nishimura, M. Hirai, T. Kawai, T. Kawata, I. Shirakara, and K. Omura, "Object Modelling by Distribution Functions", Electronics Communications, Vol. 68D, No. 4, pp. 718-725 (in japanese), 1985.
acm721083	23	acm153421	Kai A. Olsen , Robert R. Korfhage , Kenneth M. Sochats , Michael B. Spring , James G. Williams, Visualization of a document collection: the vibe system, Information Processing and Management: an International Journal, v.29 n.1, p.69-81, Jan.-Feb. 1993 
acm721083	23	id8065	Andrew J. Parker, Chris Christou, Bruce G. Cumming, Elizabeth B. Johnson, Michael Hawken, and Andrew Zisserman, "The Analysis of 3D Shape: Psychophysical principles and neural mechanisms", In Glyn W. Humphreys (ed), Understanding Vision, chapeter 8, Blackwell, 1992.
acm721083	23	acm192429	Earl Rennison, Galaxy of news: an approach to visualizing and understanding expansive news landscapes, Proceedings of the 7th annual ACM symposium on User interface software and technology, p.3-12, November 02-04, 1994, Marina del Rey, California, United States 
acm721083	23	acm857612	David Rushall and Marc Ilgen. "DEPICT Documents Evaluated as Pictures, Visualizing Information Using Context Vectors and Self-Organizing Maps". In Proceedings of IEEE Symposium on Information Visualization, InfoVis'96. 1996 IEEE CS.
acm721083	23	acm857579	J. A. Wise and J. J. Thomas and K. Pennock and D. Lantrip and M. Pottier and A. Schur and V. Crow. Visualizing the Non-Visual: Spatial analysis and interaction with information from text documents. Proc. of Information Visualization '95, pp. 51-58, 1995.
acm721083	23	id8086	B. Wyvill, C. McPheeters, and G. Wyvill., "Animating Soft Objects", Visual Computer, 2: 235-242. 1986.
acm721083	23	id8100	G. Wyvill, C. McPheeters, and B. Wyvill, "Data Structures for Soft Objects", Visual Computer, 2: 227-234. 1986.
acm721210	12	acm37086	Richard A. Becker , William S. Cleveland, Brushing scatterplots, Technometrics, v.29 n.2, p.127-142, May 1, 1987 
acm721210	12	acm192435	Benjamin B. Bederson , James D. Hollan, Pad++: a zooming graphical interface for exploring alternate interface physics, Proceedings of the 7th annual ACM symposium on User interface software and technology, p.17-26, November 02-04, 1994, Marina del Rey, California, United States 
acm721210	12	acm949724	Eick, S. G., and Steffen, J. L. , "Visualizing code profiling line oriented statistics". Proceedings of Visualization '92, IEEE, October 1992.
acm721210	12	acm22342	G. W. Furnas, Generalized fisheye views, Proceedings of the SIGCHI conference on Human factors in computing systems, p.16-23, April 13-17, 1986, Boston, Massachusetts, United States 
acm721210	12	id2789	J. Goldstein et al., "A Framework for Knowledge-Based Interactive Data Exploration," J. of Visual Languages and Computing, Vol. 5, No. 4, pp. 339-364.
acm721210	12	id6604	Johnson, B. "Treemaps Visualizing Hierarchical and Categorical Data" Unpublished PhD dissertation, Dept. of Computer Science, University of Maryland, College Park, MD (UMI-94-25057), 1994.
acm721210	12	acm223956	John Lamping , Ramana Rao , Peter Pirolli, A focus+context technique based on hyperbolic geometry for visualizing large hierarchies, Proceedings of the SIGCHI conference on Human factors in computing systems, p.401-408, May 07-11, 1995, Denver, Colorado, United States 
acm721210	12	acm180173	Y. Leung and M. Apperley. A review and taxonomy of distortion-oriented presentation techniques. ACM Transactions on Computer-Human Interaction, 1(2):126Â–160, 1994.
acm721210	12	acm108844.108870	Mackinlay, J. D., Robertson, G. G., and Card, S. K., "The Perspective Wall Detail and context smoothly integrated", Proceedings of CHI '91, 1991.
acm721210	12	acm191774	Maureen C. Stone , Ken Fishkin , Eric A. Bier, The movable filter as a user interface tool, Proceedings of the SIGCHI conference on Human factors in computing systems: celebrating interdependence, p.306-312, April 24-28, 1994, Boston, Massachusetts, United States 
acm721210	12	acm857645	Tenev, T. and Rao, R., Research Report: "Managing Multiple Focal Levels in Table Lens", IEEE Symposium on Information Visualization, 1997, p. 59-65.
acm721210	12	id6617	Treisman, Anne, "Features and Objects: The Fourteenth Bartlett Memorial Lecture", The Quarterly Journal of Experimental Psychology, Lawrence Erlbaum Associates Ltd, The Distribution Center, Blackrose Road, Letchworth Herts SG6 IHN, U.K., p. 201-237
acm721213	15	id7827	Christian B. Anfinsen. "Principles that govern the folding of protein chains". Science, 181:223-230, 1973.
acm721213	15	id7828	T. K. Attwood, A.W. R. Payne, A. D. Michie, and D. J. Parry-Smith. "A Colour INteractive Editor for Multiple Alignments - CINEMA". EMBnet.news, 3(3), 1997.
acm721213	15	id7840	Jürgen Bajorath, Ronald Stenkamp, and Alejandro Aruffo. "Knowledge-based model building of proteins: Concepts and examples". Protein Science, 2:1798-1810, 1993.
acm721213	15	id7855	F.C. Bernstein, T.F. Koetzle, Jr. G.J.B Williams, et al. "The protein data bank: A computer based archival file for macromolecular structures". Journal of Molecular Biology, 112:535-542, 1977.
acm721213	15	id7875	Carl Branden and John Tooze. "Introduction to Protein Structure". Garland Publishing, 1991.
acm721213	15	acm245041	E. H. Chi, J. Riedl, E. Shoop, J. V. Carlis, E. Retzel, and P. Barry. "Flexible information visualization of multivariate data from biological sequence similarity searches". In IEEE Visualization '96, pages 133-140,477. IEEE CS Press, 1996.
acm721213	15	id7890	N. Guex and M. C. Peitsch. "SWISS-MODEL and the Swiss-PdbViewer: An environment for comparative protein modelling". Electrophoresis, 18:2714-2723, 1997.
acm721213	15	id7899	Marc Hansen, Jesse Bentz, Albion Baucom, and Lydia Gregoret. "DINAMO: a coupled sequence alignment editor/molecular graphics tool for interactive homology modeling of proteins". In Pacific Symposium on Biocomputing, volume 3, pages 106-117, 1998.
acm721213	15	id7903	Steven Henikoff and Jorja G. Henikoff. "Amino acid substitution matrices from protein blocks". Proceedings of the National Academy of Sciences, 89:10915-10919, November 1992.
acm721213	15	id7910	David Jones,W. Taylor, and Janet Thornton. "A new approach to protein fold recognition". Nature, 358:86-89, 1992.
acm721213	15	id7922	Kevin Karplus, Kimmen Sjölander, Christian Barrett, Melissa Cline, and David Haussler. "Predicting protein structure using hidden markov models". Proteins: Structure, Function, and Genetics, Supplement 1(1):134-139, 1997.
acm721213	15	acm245585	S. K. Lodha, Alex Pang, Robert E. Sheehan, and Craig M. Wittenbrink. "UFLOW: Visualizing uncertainty in fluid flow". In Proceedings of Visualization 96, pages 249-254, October 1996.
acm721213	15	id7926	R. T. Miller, David T. Jones, and Janet M. Thornton. "Protein fold recognition by sequence threading: tools and assessment techniques". Fasb J, 10(1):171-178, 1996.
acm721213	15	id7930	Stephen D. Rufino, Luis E. Donate, Luis E. Donate, Luc H. J. Cananrd, and Tom L. Blundell. "Predicting the conformational class of short and medium size loops connecting regular secondary structures: Application to comparative modelling". Journal of Molecular Biology, 267(2):352-367, March 1997.
acm721213	15	id7939	Roger Sayle and E.J. Milner-White. "RasMol: Biomolecular graphics for all". Trends in Biochemical Sciences, 20:374-376, 1995.
acm721216	28	id6710	Ankers M., Keim D. A., Kriegel H.P. "Circle Segments A Technique for Visually Exploring Large Multidimensional Data Sets", VISUALIZATION '96, HOT TOPIC SESSION, San Francisco, CA, 1996.
acm721216	28	acm652239	AGRAWAL, R., FALOUTSOS,C.,AND SWAMI, A. 1993. Efficient similarity search in sequence databases. In Proc. 4th Int. Conf. on Foundations of Data Organization and Algorithms, LNCS 730, 69-84.
acm721216	28	acm673155	AGRAWAL, R., LIN, K., SAWHNEY, H., AND SHIM,K. 1995. Fast similarity search in the presence of noise, scaling, and translation in time-series databases. In Proc. 21st Int. Conf. on Very Large Databases, 490-501.
acm721216	28	acm223381	Christopher Ahlberg , Erik Wistrand, IVEE: an environment for automatic creation of dynamic queries applications, Conference companion on Human factors in computing systems, p.15-16, May 07-11, 1995, Denver, Colorado, United States 
acm721216	28	id6759	Berchtold S., Böhm C., Kriegel H.-P.: "The Pyramid-Tree: Towards Breaking the Curse of Dimensionality", Proc. Int. Conf. on Management of Data (SIGMOD'98), Seattle, 1998, to appear.
acm721216	28	id3025	Becker R., Chambers J. M., Wilks A. R.: "The New S Language", Wadsworth &amp; Brooks/Cole Advanced Books and Software, Pacific Grove, CA, 1988.
acm721216	28	id6760	Berchtold S.: "Geometry-based Search of Similar Parts" (in German), Ph.D. Thesis, University of Munich, 1997.
acm721216	28	acm673502	Berchtold S., Keim D. A., Kriegel H.-P.: "The X-Tree: An Index Structure for High-Dimensional Data", Proc. Int. Conf. on Very Large Databases (VLDB'96), Bombay, India, 1996, pp. 28-39.
acm721216	28	id6776	Brinkhoff T.: "The Spatial Join in Geo-Databases" (in German), Shaker Publishing Company, Aachen, 1995.
acm721216	28	id6795	Dorigo M., Gambardella L.M.: "Ant Colony System: A Cooperative Learning Approach to the Traveling Salesman Problem", IEEE Trans. on Evolutionary Computation, Vol. 1, No. 1, 1997.
acm721216	28	acm620306	Flickner M., Sawhney H., Niblack W., Ashley J., Huang Q., Dom B., Gorkani M., Hafner J., Lee D., Petkovic D., Steele D., Yanker P.: "Query by Image and Video Content: The QBIC System", IEEE Computer, Vol. 28, No. 9, 1995, pp. 23-32.
acm721216	28	id6808	Grinstein G., Pickett R., Williams M. G.: "EXVIS: An Exploratory Visualization Environment", Proc. Graphics Interface'89, London, Ontario, Canada, 1989.
acm721216	28	id6827	Garey M.R., Johnson D.S.: "Computers and Intractability: A Guide to the Theory of NP-completeness", W.H. Freemann, 1979.
acm721216	28	acm98599	Huttenlocher D. P., Kedem K.: "Computing the Minimum Hausdorff Distance For Point Sets Under Translation", Proc. 6th Annual ACM Symp. on Computational Geometry, 1990, pp. 340-349.
acm721216	28	acm949588	Alfred Inselberg , Bernard Dimsdale, Parallel coordinates: a tool for visualizing multi-dimensional geometry, Proceedings of the 1st conference on Visualization '90, October 23-26, 1990, San Francisco, California 
acm721216	28	id6857	Inselberg A. "The Plane with Parallel Coordinates", Special Issue on Computational Geometry, The Visual Computer, Vol. 1, 1985, pp. 69-97.
acm721216	28	id6859	Kahnert D.: "Haar Measure and Hausdorff Measure", (in German), in: Lecture Notes in Mathematics, Vol.541, 1976, pp. 13-23.
acm721216	28	id6869	Keim D. A.: "Visual Support for Query Specification and Data Mining", Ph.D. thesis, University of Munich, July 1994, Shaker Publishing Company, 1995.
acm721216	28	id6873	Keim D. A.: "Visual Techniques for Exploring Databases", Invited Tutorial, Int. Conference on Knowledge Discovery in Databases (KDD'97), Newport Beach, CA, 1997.
acm721216	28	acm617913	Daniel A. Keim , Hans-Peter Krigel, VisDB: Database Exploration Using Multidimensional Visualization, IEEE Computer Graphics and Applications, v.14 n.5, p.40-49, September 1994 
acm721216	28	acm223895	Daniel A. Keim , Hans-Peter Kriegel, VisDB: a system for visualizing large databases, Proceedings of the 1995 ACM SIGMOD international conference on Management of data, p.482, May 22-25, 1995, San Jose, California, United States 
acm721216	28	acm833846	D.A. Keim and H.P. Kriegel and M. Ankerst. Recursive pattern: a technique for visualizing very large amounts of data. Proc. of Visualization '95, pp. 279-286, 1995.
acm721216	28	acm148286	William H. Press , Saul A. Teukolsky , William T. Vetterling , Brian P. Flannery, Numerical recipes in C (2nd ed.): the art of scientific computing, Cambridge University Press, New York, NY, 1992 
acm721216	28	acm265412	Mehrotra R., Gary J. E.: "Feature-Index-Based Similar Shape Retrieval", Proc. 3rd Working Conf. on Visual Database Systems, 1995.
acm721216	28	acm673478	Database Mining and Visualisation Group - SGI Inc.: "MineSet(tm): A System for High-End Data Mining and Visualization", Int. Conf. on Very Large Data Bases (VLDB"96), Bombay, India, p. 595.
acm721216	28	id6925	Shawney H., Hafner J.: "Efficient Color Histogram Indexing", Proc. Int. Conf. on Image Processing, 1994, pp. 66-70.
acm721216	28	acm951146	M.O. Ward. XmdvTool: Integrating multiple methods for visualizing multivariate data, Proc. of Visualization' 94, pp. 326-333 (October 1994).
acm721216	28	id6947	Wallace T., Wintz P.: "An Efficient Three-Dimensional Aircraft Recognition Algorithm Using Normalized Fourier Descriptors", Computer Graphics and Image Processing, Vol. 13, 1980, pp. 99-126.
acm721217	27	acm948480	J.E. Baker, I.F. Cruz and G. Liotta. "Algorithm animation over the World-Wide Web". , 1996.
acm721217	27	acm163535	T. Bemmerl and P. Braun. "Visualization of message passing parallel programs with the TOPSYS parallel programming environment". Journal of Parallel and Distributed Computing, 18:118-128, 1993.
acm721217	27	acm7478	K. Birman and T. Joseph. "Reliable communication in the presence of failures". ACM Transactions on Computer Systems, 5(1):47-76, 1987.
acm721217	27	acm43396	Marc H. Brown, Algorithm animation, MIT Press, Cambridge, MA, 1988 
acm721217	27	id6409	Marc H. Brown and Robert Sedgewick. A System for Algorithm Animation. Computer Graphics, 18(3): 177Â– 186, July 1984.
acm721217	27	acm834348	M.H. Brown and M.A. Najork. "Collaborative active textbooks: a web-based algorithm animation system for an electronic classroom". SRC Report 142, 1996.
acm721217	27	id5693	Marc H. Brown and Robert Sedgewick, "Techniques for algorithm animation" IEEE Software Vol. 2( 1) pp. 28-39 (1985).
acm721217	27	acm214456	K. Mani Chandy , Leslie Lamport, Distributed snapshots: determining global states of distributed systems, ACM Transactions on Computer Systems (TOCS), v.3 n.1, p.63-75, Feb. 1985 
acm721217	27	acm620348	M.T. Heath, A.D. Malony and D.R. Rover. "The visual display of parallel performance data". IEEE Computer, 28(11), 21-28, 1995.
acm721217	27	acm613931	M.T. Heath, A.D. Malony and D.R. Rover. "Parallel performance visualization: From practice to theory". IEEE Parallel Distrib. Tech., 3(4), 44-60, 1995
acm721217	27	acm620349	H. Jakiela. "Performance visualization of a distributed system: A case study". IEEE Computer, 28(11), 30-36, 1995.
acm721217	27	acm22723	Jeffrey Joyce , Greg Lomow , Konrad Slind , Brian Unger, Monitoring distributed systems, ACM Transactions on Computer Systems (TOCS), v.5 n.2, p.121-150, May 1987 
acm721217	27	acm163533	E. Kraemer and J.T. Stasko, "The Visualization of Parallel Systems: An Overview", J. of Parallel and Distributed Computing, Vol. 18, 1993, pp. 105-117.
acm721217	27	acm662606	E. Kraemer and J.T. Stasko. "Toward flexible control the temporal mapping from concurrent program events to animations" Proceedings of the 8th International Parallel Processing Symposium, 902-908, 1994.
acm721217	27	acm614078	Kraemer, E., and Stask, J.T. "Creating an Accurate Portrayal of Concurrent Executions", IEEE Concurrency, 6(1), pp. 36-46, January/mar 1998.
acm721217	27	acm359563	Leslie Lamport, Time, clocks, and the ordering of events in a distributed system, Communications of the ACM, v.21 n.7, p.558-565, July 1978 
acm721217	27	acm76897	Charles E. McDowell , David P. Helmbold, Debugging concurrent programs, ACM Computing Surveys (CSUR), v.21 n.4, p.593-622, Dec. 1989 
acm721217	27	acm76334	C.M. Pancake and S. Utter. "Models for visualization in parallel debuggers". Proceedings of Supercomputing'89, 627-636, 1989.
acm721217	27	id7178	M. Raynal, A, Schiper and S. Toueg. "The casual ordering abstraction and a simple way to implement it" Information Processing Letters, 39(6):343-350, 1991.
acm721217	27	id6449	G.-C. Roman, K.C. Cox, D.Wilcox and J.Y. Plun. "Pavane: a system for declarative visualization of concurrent computations". J. Visual LanguagesComput., 3(2):161-193, 1992.
acm721217	27	id7191	S.R. Sarukkai. "Performance visualization and prediction of parallel supercomputer programs": An intern report. Tech. Report 318, Indiana University , 1990.
acm721217	27	id7204	A. Schiper, J. Eggli, and A. Sandoz. "A new algorithm to implement casual ordering". Third International Workshop on Distributed Algorithm, Lecture Notes Computer Science 393, 219-232, 1989.
acm721217	27	acm267120	M. Shneerson and A. Tal. "Visualization of geometric algorithms in an electronic classroom". Visualization'97, 455-457,576, 1997.
acm721217	27	acm69235	David Socha , Mary L. Bailey , David Notkin, Voyeur: graphical views of parallel programs, ACM SIGPLAN Notices, v.24 n.1, p.206-215, Jan. 1989 
acm721217	27	acm864808	John T. Stasko. TANGO: A Framework and System for Algorithm Animation, IEEE Computer, 23(9):27-39, Sept. 1990.
acm721217	27	acm163550	John T. Stasko and Eileen Kraemer. "A methodology for building application-specific visualizations of parallel programs". Journal of Parallel and Distributed Computing, 18(2):258-264, June 1993.
acm721217	27	acm614306	Ayellet Tal , David Dobkin, Visualization of Geometric Algorithms, IEEE Transactions on Visualization and Computer Graphics, v.1 n.2, p.194-204, June 1995 
acm721218	12	acm649649	R. Kohavi, "The Power of Decision Tables", Proceedings of the European Conference on Machine Learning, Lecture Notes in Artificial Intelligence 914, Springer Verlag, Berlin, Heidelberg, NY, pages 174-189.
acm721218	12	acm152181	J. Ross Quinlan, C4.5: programs for machine learning, Morgan Kaufmann Publishers Inc., San Francisco, CA, 1993 
acm721218	12	acm574634	J. Hertz, A. Krogh, and R. Palmer, "Introduction to the Theory of Neural Computation", Addison Wesley, 1991.
acm721218	12	acm949568	Jeffrey LeBlanc , Matthew O. Ward , Norman Wittels, Exploring N-dimensional databases, Proceedings of the 1st conference on Visualization '90, October 23-26, 1990, San Francisco, California 
